State,Factor
01,1520
01,1525
01,1526
01,1528
02,1520
02,1523
02,1526
02,1528
04,1521
04,1524
04,1526
05,1520
05,1524
05,1526
05,1528
06,1520
06,1523
06,1526
06,1528
08,1520
08,1524
08,1527
08,1528
09,1520
09,1523
09,1526
09,1528
10,1520
10,1523
10,1526
10,1528
12,1521
12,1525
12,1527
12,1528
13,1520
13,1523
13,1526
13,1528
15,1522
15,1524
15,1527
16,1520
16,1524
16,1526
16,1528
17,1520
17,1524
17,1526
17,1528
18,1520
18,1524
18,1526
18,1528
19,1520
19,1524
19,1526
19,1528
20,1520
20,1525
20,1526
20,1528
21,1520
21,1524
21,1526
21,1528
22,1520
22,1524
22,1526
22,1528
23,1520
23,1523
23,1526
23,1528
24,1520
24,1523
24,1526
24,1528
25,1520
25,1525
25,1526
25,1528
26,1520
26,1524
26,1526
26,1528
27,1520
27,1523
27,1526
27,1528
28,1520
28,1523
28,1526
28,1528
29,1520
29,1524
29,1526
29,1528
30,1520
30,1523
30,1526
30,1528
31,1520
31,1524
31,1526
31,1529
32,1520
32,1523
32,1526
32,1529
33,1520
33,1523
33,1526
33,1529
34,1520
34,1524
34,1526
34,1529
35,1520
35,1523
35,1526
35,1529
36,1520
36,1525
36,1526
36,1529
37,1520
37,1523
37,1526
37,1529
38,1520
38,1524
38,1526
38,1529
39,1520
39,1525
39,1526
39,1529
40,1520
40,1525
40,1527
40,1529
41,1520
41,1524
41,1527
41,1529
42,1520
42,1523
42,1527
42,1529
44,1520
44,1523
44,1527
44,1529
45,1520
45,1523
45,1527
45,1529
46,1520
46,1524
46,1527
46,1529
47,1520
47,1523
47,1527
47,1529
48,1520
48,1525
48,1527
48,1529
49,1520
49,1524
49,1527
49,1529
50,1520
50,1524
50,1527
50,1529
51,1520
51,1524
51,1527
51,1529
53,1520
53,1523
53,1527
53,1529
54,1520
54,1523
54,1527
54,1529
55,1520
55,1524
55,1527
55,1529
56,1520
56,1524
56,1527
56,1529
