State,Factor
01,1520
01,1524
01,1527
01,1528
02,1520
02,1524
02,1526
02,1529
04,1521
04,1525
04,1526
05,1520
05,1524
05,1526
05,1528
06,1520
06,1523
06,1526
06,1528
08,1520
08,1525
08,1526
08,1528
09,1520
09,1525
09,1527
09,1528
10,1520
10,1525
10,1527
10,1528
12,1521
12,1523
12,1527
12,1528
13,1521
13,1523
13,1526
13,1528
15,1522
15,1523
15,1527
16,1520
16,1524
16,1527
16,1528
17,1520
17,1525
17,1526
17,1528
18,1520
18,1525
18,1527
18,1528
19,1520
19,1525
19,1526
19,1528
20,1520
20,1525
20,1526
20,1528
21,1520
21,1525
21,1527
21,1528
22,1521
22,1525
22,1526
22,1528
23,1520
23,1525
23,1527
23,1528
24,1521
24,1525
24,1526
24,1528
25,1520
25,1525
25,1526
25,1528
26,1520
26,1525
26,1527
26,1529
27,1520
27,1525
27,1526
27,1528
28,1521
28,1525
28,1527
28,1528
29,1520
29,1525
29,1526
29,1528
30,1520
30,1523
30,1527
30,1529
31,1520
31,1525
31,1526
31,1529
32,1520
32,1523
32,1526
32,1529
33,1520
33,1524
33,1527
33,1529
34,1521
34,1525
34,1527
34,1529
35,1520
35,1524
35,1526
35,1529
36,1520
36,1525
36,1527
36,1529
37,1520
37,1524
37,1526
37,1529
38,1520
38,1525
38,1526
38,1529
39,1520
39,1525
39,1527
39,1529
40,1520
40,1524
40,1527
40,1529
41,1520
41,1525
41,1527
41,1529
42,1520
42,1524
42,1527
42,1529
44,1521
44,1525
44,1527
44,1529
45,1521
45,1524
45,1527
45,1529
46,1520
46,1525
46,1527
46,1529
47,1520
47,1524
47,1527
47,1529
48,1521
48,1525
48,1527
48,1529
49,1520
49,1523
49,1527
49,1529
50,1520
50,1525
50,1527
50,1529
51,1521
51,1525
51,1527
51,1529
53,1520
53,1524
53,1527
53,1529
54,1520
54,1524
54,1527
54,1529
55,1520
55,1525
55,1527
55,1529
56,1520
56,1525
56,1527
56,1529
